path,bytes,sha256
README.md,8140,2f16f30365f4153eb46d55bb97ff9e86035c705b33eff37f13bf505f7ec230e2
analysis_spec.json,3757,a394e8cbe99766b7273da651eedd0af72bd7009465bd6cbb56b52ee109e8252e
code/build_tables.py,15249,6e0c527d71d678b374dbe1f68922bffbb111a25b9724dcd3aacde73de8436eb0
code/check_ensemble_scale.py,5166,418270e0843fafc99d846e4a1d743b420bc39953b149c5f5244bdfa826e5f7c1
code/common_scale.py,7933,2e875cc98b580bab8af9007c0235b0224b19e883ff7b6ca8d3c7fd4ffc48997e
code/replay_frozen_predictions.py,16623,afab143202d57b7c5c5b1037b2772534164e856e19192bf8bae1b7860c2c4465
code/verify_data.py,6101,b816102d287d50add9001bb650a80041ae0524c20b26fe519b4d712eebd30fab
data_dictionary.md,4079,34b29febf1f4e6f10bf852f02a4c2ea835b79cddf831391f48b1dfea89108d57
definition_sensitivity.csv,62565,467d25a20fe68a2d9c1b345891a4c41efab74fe6d3431e81a3358154b10c91b1
derived/changes_vs_reference.csv,277570,f97dd0798c682737dcfcb8da6788d1f390df475b40acdab7072008046aba6e4a
derived/checkpoint_average_tier_matrix.csv,11243,c0764d68fb073d55f4dc5731a5e656ccbe30e423b283ba61f47e9c186ebdd20f
derived/checkpoint_state_comparison.csv,125300,a73b801bd7b6bc120b3f2c8dd47319b9c6c6144954c33c410d2c3828a4b26cc9
derived/ensemble_definition_comparison.csv,2379,ab602c43e2f68fdec89b0388c070a520ace1dd314a9d1acaa71a77a0486ad9de
derived/method_tier_counts.csv,2457,79e30b2168650c145149850b79bfb11b83a38cf66e4335b2c394435d6b090531
derived/reporter_stability.csv,10527,bed614f025c4edea7fb0624d667192b688b5f3ab261786ce4608b7daab17a1bc
derived/single_tier_matrix.csv,11250,1f95db08565941d64f02b1f718fbf619a6b5565bf2841147e7d1d8489975fc9d
derived/summary.json,497,6dffa22d85a2bd3c4926edb5c0bc98a9db77e4e1c45cdff2e74560acb280743b
derived/transition_counts.csv,17603,83da34d8a625e4f62ca18379dad859ee9b293c6cd79f4d5444e4daeba06640f0
evidence.csv,289071,dfec16e9ff5cf00102b5cb61bf5b7dfb5ee756efc73671f0d4c7f738eeb40c1c
method_roster.csv,240,2ede2524d578cef87e640343f120d71c60b92d8ce05f4836e2786494a8e8a376
provenance/alignment_audit.csv,322592,172a70c6236e9d1e5c3e3d4a068d0f676440c497d1efedf2ed94360e72dfc536
provenance/analysis_evidence_digests.csv,280,75dec6ecda231463949c40f9d09c7c434572936645db2e494741a9bfea81bba2
provenance/control_scale_audit.json,242858,35407b004e1a05f2ba92c64237d4511e2a9c3ef40d2578e39453402a0d97a897
provenance/endpoint_scales.csv,920806,85332503edba3eb471a2ee7722cf370f1164fbc3033c7e6afcaef51e8929a1d0
provenance/frozen_input_manifest.csv.gz,698605,a59008a8bff8fdc199ccdc5f35502ba108f175fc757caca13f521b38b4e3f8db
provenance/per_method_fold_recoverability.csv,384303,7fcae401f4c9fcc22c2049438334c9f3308e7a120f5c049541b2d6ec70fc1c1a
qa_report.json,755,b91b1eb4029b874c757fb5892033a016854ab06127a56b588e5e86358c8fa05d
reporter_order.csv,4596,bc972963e755c8b33484f364a3aaa104bc9cef68d5175be4feff981b18e6f66b
requirements.txt,42,be1cf0028c1329ef6c34b6704daaa25f8baaeee2c762370137e87dbde3ae7f8f
scale_sensitivity.csv,27961,cf38efb868079bd28ac247a4cd85dc0041e63f269034d4e60bb4e88703bc89b9
