path,bytes,sha256
README.md,5457,5bea43e8ec95595e732834e25c5890577ca18d5d5e77a7294a6b02a62b2b0703
code/frozen_scoring.py,11415,81b106f13b063bd2ae81f3496d251d742f97cf71f677479dc9dc381792d208b1
code/replay_scores.py,3313,e01d4b9a4f4f278a69020319f88d3b5445c72dda617303c8b97939be243e2f1c
data/compound_partition.csv,36314,22663fbd29f6d7c139b279f4230cdb8e5465f2b340584564e8cb5f2c9008c1de
data/context_compound_scores.csv,650149,2d1f99c8b312025816b5777a7310474b71397abf154d0373994c8ec3bdd7edc0
data/correspondence_null_distribution.csv.gz,37606,29414a9ba276777cf9829c036f9a4ff3141df29880e86bd9cded4d7d553cec77
data/correspondence_null_summary.csv,1242,b2bc7a6439da887a0a239e5c9a35ede2ed48a6ee9744fa8072b03480692c7332
data/heldout_predictions.parquet,377462,63ef64762e08b1889a84138d5564a5c3f5617e8d534bbf0e98cce89b4f0bb43d
data/selection_ledger.csv,2151416,4675cb0fc2239c0ffd2c95cb1b550df25855b358b40f9cea0d714c57a5de9c27
data/test_membership.csv,385138,c000773f093588ac0bde43934ce0d883582e71dd4dcca986db39c5f2d3aecf5a
data/training_membership.csv,1532394,3b58110539cf77137bd816844107d387ec0c1f7fde0292419194e6daa6616b5f
data/utility_scores.csv,56691,38b61c3d6a1b20df5333e81e4e830f14b0db6024081e77e8efd76c49714ebbbe
protocol.md,5110,fc4fd5f91f6ad54da346b2cf4b3dac66547b9500c6706a7bdd93aa96dd7439b8
provenance.json,10195,85b6981836aed71dc7507698e0c9c683bf7198c8c141ebdb2849b6e03dfe0f46
replay_verification.json,594,be709426323ca3bc72b48d0203f4bfc82ae6cde789b1504df4f40645549f6f2d
