relative_path,sha256,bytes,normalization
../../publication_style.py,edb521dc8477acbb170fa980781141078b3014b3c9fcf97ca39e235ac3b74838,8516,LF
.gitignore,5496856b05d7cc6496dc1f331f449f587d04be030ef8c574b75c9ec5878ce4fa,128,LF
README.md,6082a8120aac40df571cc932bee0bfe57bc490357a731ce41f4f05c96fb2616f,4211,LF
a_workflow/claim_table.csv,def2b163c77671b6e50af229586776c5805f88688ba3e5168a3aa370212424b6,1134,LF
a_workflow/code/build_figure2a.py,8d34685522862b0edcdedfc0e818773475bc4afdf74da870be5a72541685a697,1378,LF
a_workflow/figure_legend.md,f6c832bfca9ec6ec826fe61f20a97fd68a5b5944c62a6271e8dafa864fbad85c,675,LF
a_workflow/figure_methods.md,49bfeaecaa69f4465398012aab102fff327b40c50f7f15713c17d48e8f50b7e5,3149,LF
a_workflow/figure_plot_spec.yaml,90d59da6d66c4a306541cda9da8ca892df0c28732a6239821eaa8c66730dc3c2,1706,LF
a_workflow/source/Figure2a.pdf,5a8ec20a9b3db35577bb413a94fecfda18c2219d2470f4c99877075a5d930428,4130655,byte-exact
a_workflow/source/Figure2a.pptx,f8eb10b6dbbceff803d35665983ea90a92c09e39e41851fa948a5f8c1b89d5f1,4096315,byte-exact
a_workflow/source/export_manifest.json,d8680141d6ac75ff59d85df0315111bbf7911cb1582fa02c65e8212e0e1772f0,5572,LF
a_workflow/source/export_to_pdf.ps1,4353a297318f2a408e42baa8a39394a097e4961cb70c7b1e16e8dfadca4ca11e,8486,LF
a_workflow/source/restore_source_images.py,b47a6cb14dcbdbc01cbe206366a46fcce9a8d1efa9295286b54de51e0290671e,3435,LF
a_workflow/source_data/GENERATION_PROMPTS.md,9cdb786d5673f37ba1311bdf4f429535fa314b10a830ff9c8f8f1ffa59377eb4,2091,LF
a_workflow/source_data/export_field_views.py,ff1c5ccfa3149731bb0b1b91490caf2206ae5e043f0ee7864dd017bd21a2580a,4858,LF
a_workflow/source_data/field_view_provenance.json,f47003811deb1efe43681e27de5b1d640dab9f2d9e1d352cc51b58ea5ec5f56d,13357,LF
a_workflow/source_data/raw_data/prb_fech_ko.json,9207954f705eafc36ec7e0145e71344fad9c0ceaaffd4cd617e0b665bbacba11,1497,LF
a_workflow/source_data/raw_data/prb_fech_ko.npz,0adbb1e059f23bdd72afbe77f3328aed7acecd582d526d6d936a6500d74fd55a,1053578,byte-exact
a_workflow/source_data/raw_data/prb_sall3_ops0077_a1.json,d5a38ed5ea6c8468937c973bca4542eb7e6a4933fc0d29ea5d31b101a70fb490,1472,LF
a_workflow/source_data/raw_data/prb_sall3_ops0077_a1.npz,c194e7ce8f8a4b6cc24a61b874c7b6296872d8a9378700cc58679447e98132dd,1089752,byte-exact
a_workflow/source_data/raw_data/prb_sall3_ops0077_a2.json,cc0a8baf2fc18ed30ca84ee9b855576a23059e222214e779dc8040e5949af754,1480,LF
a_workflow/source_data/raw_data/prb_sall3_ops0077_a2.npz,e1e21cd8b833f29ad230dc139fe942f18fab2d52b8bcfd03a081270f1f065398,1081998,byte-exact
a_workflow/source_data/raw_data/prb_sall3_ops0077_a3.json,78f9517a82d99f248f21fd96637c6228f7a4dec44b20853959a8a0407dbf2095,1472,LF
a_workflow/source_data/raw_data/prb_sall3_ops0077_a3.npz,2e7b24da53a9b18f00c3451a6c80a31b6fc3f52d7ce73f9f2230d9bbab1f270e,1087108,byte-exact
a_workflow/source_data/render_spec.csv,1b6b6975b780186868aba238465c9961d7affb7410fc561fa7a4b8b8cc9f9cfe,873,LF
build.ps1,62a7bcaedbdd1808da3b7a363142eb1bf32f0c7b6ae3b5311f94d137f57a95f3,772,LF
claim_table.csv,b7b7d995603257b5099a1c6a196c026943d2f501734463201e6e394a2864e9b9,1411,LF
code/archive_manifest.py,a15034f64355058f2c657ab78f026b04cf8a031c2ca5ee229942bdfb94ea05a1,7191,LF
code/fig2_composite.py,694ce9024aa5d26f35a27a5394e11124f839065259daf7ce2aeb68433b3683ac,24718,LF
code/fig2_data.py,d965463e23bf84b9e4a32fa6d5beb49c71c8d1fba6ef0efccab40dcb6b97391f,14120,LF
code/portable_fonts.py,0047edca3daacc899a1ee27a268e25319251dcab2fc0bf723650f34d3304149b,1272,LF
code/rebuild_benchmark_sources.py,3c89b946f2908d6d0834d1eb8adf8efc609352975b05afb9504b2eacb6e0d336,12533,LF
code/verify_geometry.py,c99a21508ba746a78ec143b731a5172a00718da87900ca68dc3882b2a9aa9498,446,LF
code/verify_printscale.py,ab867491ea32286e751542b0ccbd416909d5dde78651a0511a0813e371c18b86,12924,LF
environment.yml,2ebfc8aff07e52cce1b8a62269afd491396f1216126d9b18b14552a889ff136a,192,LF
figure_legend.md,bae1eebcc0da676823dd472f46e71f95266f6c4b542bf9f57798ea4d87c6ad40,1850,LF
figure_methods.md,bf56438f403efca3be606d2ed7e7324591a77e0006ab6b8d2729c418f87e1b04,5947,LF
figure_plot_spec.yaml,a335f18a399134fa2aa264342124d4e2fb7c309e2aab03181f0a54011d8d9991,2981,LF
requirements.txt,081726167ed296bf3b8fb21c0c2dc92a534558d4c764bff1cca9cd70fed0b098,89,LF
source_contract.json,12dfa6111d35cafa4dcf493a013deb35bc392dea1b63489eb6bb2af0364d1913,4469,LF
source_data/aggregation_correction/aggregation_rebuild_audit.json,a7a241927a3cc94fe740203322151f1eb92d5c4f0cf4eb07684cd821467d0290,6066,LF
source_data/aggregation_correction/reporter_aggregation_corrections.csv,b25389073e412f0afb3b0ab147f180f63837baba7e39ac2ac8dd4d3025071eb6,383157,LF
source_data/frozen_figure2_package/B_reporter_ko/source_data/method_roster.csv,f384b638b24381b5f05dfc461665b71f45e4a96fd3b2b9145c9edc89b4b6d51d,540,LF
source_data/frozen_figure2_package/B_reporter_ko/source_data/reporter_ko_by_method.csv,3b7544908ea4b4f6b1c331e923aea8731bddec9af8026a15fc70a0a7da60a358,160599,LF
source_data/frozen_figure2_package/C_reporter_cell/source_data/method_roster.csv,f384b638b24381b5f05dfc461665b71f45e4a96fd3b2b9145c9edc89b4b6d51d,540,LF
source_data/frozen_figure2_package/C_reporter_cell/source_data/reporter_cell_by_method.csv,34236418c3eaf6f33826ce01b24b009ba51f0424af50c9452f6c0082dff67b7b,160651,LF
source_data/frozen_figure2_package/D_screen_ko/source_data/method_roster.csv,f384b638b24381b5f05dfc461665b71f45e4a96fd3b2b9145c9edc89b4b6d51d,540,LF
source_data/frozen_figure2_package/D_screen_ko/source_data/screen_ko_by_method.csv,0b695af3aaa7ae3bf4f6601255d9cad25a2950d900c4e557ca5f7dd0c339e1e5,236870,LF
source_data/frozen_figure2_package/E_screen_cell/source_data/method_roster.csv,f384b638b24381b5f05dfc461665b71f45e4a96fd3b2b9145c9edc89b4b6d51d,540,LF
source_data/frozen_figure2_package/E_screen_cell/source_data/screen_cell_by_method.csv,dbf16d734c33ce9b01a4e4c0ba648dbe67dd0abab841e15069bc019869f8f4c8,236879,LF
source_data/frozen_figure2_package/F_assay_ko/source_data/assay_ko_by_method.csv,630e1f755cdd190ac9a4736f579c7befedce439cdff7110dfb8d17d6dcfa8011,506492,LF
source_data/frozen_figure2_package/F_assay_ko/source_data/method_roster.csv,f384b638b24381b5f05dfc461665b71f45e4a96fd3b2b9145c9edc89b4b6d51d,540,LF
source_data/frozen_figure2_package/G_assay_cell/source_data/assay_cell_by_method.csv,782eec4b79e30d390d03d465f73aebaa6a7c6c94d490bb5049d5e31f6876ffd8,626007,LF
source_data/frozen_figure2_package/G_assay_cell/source_data/method_roster.csv,f384b638b24381b5f05dfc461665b71f45e4a96fd3b2b9145c9edc89b4b6d51d,540,LF
source_data/frozen_figure2_package/README.md,0e5e2566263167b04f190c82ed3e5ac461a72decf694b2ce39c062dbb565433d,1804,LF
source_data/frozen_figure2_package/source_contract.json,f07f2525aacd2ea2bf722ea07f144d6d5c5a30ab84b08050e40d839316e84a59,3283,LF
source_data/frozen_partition_scores.csv.gz,5ca3a4741808ce1409a9e4316f02504860c52074b586ded828e7418ba333ad30,144489,byte-exact
source_data/partition_source_provenance.json,99570cb494f47665da297315f88655dcc0cb6c77539c31f270071a918798c7d3,1169,LF
source_data/statistics/benchmark_descriptive_summary.csv,380f043ebeef98e5dff2166f51841affe2ad3f432a0d8ad36b52b2aa04c99e77,6930,LF
source_data/statistics/descriptive_leading_medians.csv,e475b31b8b8861032414ff5238311052922667014bf1602891ab4d6e30e89be4,735,LF
source_data/statistics/reporter_level_primary_inference.csv,46a417834f9ba17562fdb29df926b4ff6ef3d91b2052d268e5e3398e0ac4c6c4,12496,LF
source_data/statistics/screen_spread_summary.csv,8c1303b3082f74a406004600647cebee3653a63e065b9882e218627dadf2eb79,392,LF
source_data/statistics/view_b_reporter_consensus.csv,f16bfa2dace7b2f1d46ad3f3d1a2e88837bc4b5f24b685273cd4b5f9da59700e,17547,LF
source_data/statistics/view_c_reporter_consensus.csv,ff0898639a3092d227af446960a657807802084e5f5e40e19241dc69d6dd0a79,17588,LF
source_data/statistics/view_d_screen_consensus.csv,93e1fc7e83ff89ba888ed2593461390edb455ff64ff54d24f1001b1f430854eb,25551,LF
source_data/statistics/view_e_screen_consensus.csv,3bb59c643a0459f642e4484d00d62b36bc7e38dd5e446e5565e64707cfdbc770,25581,LF
source_data/statistics/view_f_assay_consensus.csv,582e94cd65be59c0fe6ab6fbbbb0ee8d7702fccdb014ced55646ea18a1c9ca08,40621,LF
source_data/statistics/view_g_assay_consensus.csv,c1e297fd0d250ec1bfd38c14e2bbed879351e208d1ebb712bc0052c2066ab488,40637,LF
tested_environment.json,e2ac7342bf7062145272aa307e7bd679b598065d68b7bcca4aa47f01fd00d335,630,LF
